ID,Part,ChipMaker,Nation,PCB,Serial Number,Copyright Year
1,U1,Fujitsu,JP,HVC-CPU-05,H1 569461,1983
2,U2,Fujitsu,JP,HVC-CPU-05,H1 569461,1983
3,U3,Fujitsu,JP,HVC-CPU-05,H1 569461,1983
4,U4,Hitachi,JP,HVC-CPU-05,H1 569461,1983
5,U5,Ricoh,JP,HVC-CPU-05,H1 569461,1983
6,U6,Ricoh,JP,HVC-CPU-05,H1 569461,1983
7,U7,Toshiba,JP,HVC-CPU-05,H1 569461,1983
8,U8,Toshiba,JP,HVC-CPU-05,H1 569461,1983
81,U1,Hitachi,JP,HVC-CPU-06,H2 183821,1983
84,U4,Hitachi,JP,HVC-CPU-06,H2 183821,1983
85,U5,Ricoh,JP,HVC-CPU-06,H2 183821,1983
86,U6,Ricoh,JP,HVC-CPU-06,H2 183821,1983
82,U2,Sharp,JP,HVC-CPU-06,H2 183821,1983
83,U3,Sharp,JP,HVC-CPU-06,H2 183821,1983
87,U7,Toshiba,JP,HVC-CPU-06,H2 183821,1983
88,U8,Toshiba,JP,HVC-CPU-06,H2 183821,1983
73,U1,Hitachi,JP,HVC-CPU-05,H3 088254,1983
75,U3,Hitachi,JP,HVC-CPU-05,H3 088254,1983
77,U5,Ricoh,JP,HVC-CPU-05,H3 088254,1983
78,U6,Ricoh,JP,HVC-CPU-05,H3 088254,1983
74,U2,SGS,FR,HVC-CPU-05,H3 088254,1983
76,U4,Toshiba,JP,HVC-CPU-05,H3 088254,1983
79,U7,Toshiba,JP,HVC-CPU-05,H3 088254,1983
80,U8,Toshiba,JP,HVC-CPU-05,H3 088254,1983
89,U1,Hitachi,JP,HVC-CPU-06,H7 173795,1983
92,U4,Hitachi,JP,HVC-CPU-06,H7 173795,1983
93,U5,Ricoh,JP,HVC-CPU-06,H7 173795,1983
94,U6,Ricoh,JP,HVC-CPU-06,H7 173795,1983
90,U2,Sharp,JP,HVC-CPU-06,H7 173795,1983
91,U3,Sharp,JP,HVC-CPU-06,H7 173795,1983
95,U7,Toshiba,JP,HVC-CPU-06,H7 173795,1983
96,U8,Toshiba,JP,HVC-CPU-06,H7 173795,1983
18,U2,Hitachi,JP,HVC-CPU-07,H10 045995,1984
19,U3,Hitachi,JP,HVC-CPU-07,H10 045995,1984
21,U5,Ricoh,JP,HVC-CPU-07,H10 045995,1984
22,U6,Ricoh,JP,HVC-CPU-07,H10 045995,1984
17,U1,Toshiba,JP,HVC-CPU-07,H10 045995,1984
20,U4,Toshiba,JP,HVC-CPU-07,H10 045995,1984
23,U7,Toshiba,JP,HVC-CPU-07,H10 045995,1984
24,U8,Toshiba,JP,HVC-CPU-07,H10 045995,1984
202,U2,Hitachi,JP,HVC-CPU-07,H10 636489,1984
203,U3,Hitachi,JP,HVC-CPU-07,H10 636489,1984
207,U7,Panasonic,JP,HVC-CPU-07,H10 636489,1984
208,U8,Panasonic,JP,HVC-CPU-07,H10 636489,1984
205,U5,Ricoh,JP,HVC-CPU-07,H10 636489,1984
206,U6,Ricoh,JP,HVC-CPU-07,H10 636489,1984
201,U1,Toshiba,JP,HVC-CPU-07,H10 636489,1984
204,U4,Toshiba,JP,HVC-CPU-07,H10 636489,1984
209,U1,Fujitsu,JP,HVC-CPU-07,H11 204511,1984
211,U3,Fujitsu,JP,HVC-CPU-07,H11 204511,1984
212,U4,Fujitsu,JP,HVC-CPU-07,H11 204511,1984
210,U2,Hitachi,JP,HVC-CPU-07,H11 204511,1984
215,U7,Panasonic,JP,HVC-CPU-07,H11 204511,1984
216,U8,Panasonic,JP,HVC-CPU-07,H11 204511,1984
213,U5,Ricoh,JP,HVC-CPU-07,H11 204511,1984
214,U6,Ricoh,JP,HVC-CPU-07,H11 204511,1984
218,U2,Fujitsu,JP,HVC-CPU-07,H11 241536,1984
219,U3,Mitsubishi,JP,HVC-CPU-07,H11 241536,1984
223,U7,Panasonic,JP,HVC-CPU-07,H11 241536,1984
224,U8,Panasonic,JP,HVC-CPU-07,H11 241536,1984
221,U5,Ricoh,JP,HVC-CPU-07,H11 241536,1984
222,U6,Ricoh,JP,HVC-CPU-07,H11 241536,1984
217,U1,Toshiba,JP,HVC-CPU-07,H11 241536,1984
220,U4,Toshiba,JP,HVC-CPU-07,H11 241536,1984
225,U1,Fujitsu,JP,HVC-CPU-07,H11 298567,1984
226,U2,Fujitsu,JP,HVC-CPU-07,H11 298567,1984
227,U3,Fujitsu,JP,HVC-CPU-07,H11 298567,1984
228,U4,Fujitsu,JP,HVC-CPU-07,H11 298567,1984
229,U5,Ricoh,JP,HVC-CPU-07,H11 298567,1984
230,U6,Ricoh,JP,HVC-CPU-07,H11 298567,1984
231,U7,Toshiba,JP,HVC-CPU-07,H11 298567,1984
232,U8,Toshiba,JP,HVC-CPU-07,H11 298567,1984
233,U1,Fujitsu,JP,HVC-CPU-07,H12 469718,1984
236,U4,Fujitsu,JP,HVC-CPU-07,H12 469718,1984
234,U2,Hitachi,JP,HVC-CPU-07,H12 469718,1984
235,U3,Mitsubishi,JP,HVC-CPU-07,H12 469718,1984
239,U7,Panasonic,JP,HVC-CPU-07,H12 469718,1984
240,U8,Panasonic,JP,HVC-CPU-07,H12 469718,1984
237,U5,Ricoh,JP,HVC-CPU-07,H12 469718,1984
238,U6,Ricoh,JP,HVC-CPU-07,H12 469718,1984
243,U3,Fujitsu,JP,HVC-CPU-07,H12 645734,1984
242,U2,Hitachi,JP,HVC-CPU-07,H12 645734,1984
245,U5,Ricoh,JP,HVC-CPU-07,H12 645734,1984
246,U6,Ricoh,JP,HVC-CPU-07,H12 645734,1984
241,U1,Toshiba,JP,HVC-CPU-07,H12 645734,1984
244,U4,Toshiba,JP,HVC-CPU-07,H12 645734,1984
247,U7,Toshiba,JP,HVC-CPU-07,H12 645734,1984
248,U8,Toshiba,JP,HVC-CPU-07,H12 645734,1984
249,U1,Fujitsu,JP,HVC-CPU-07,H12 714439,1984
252,U4,Fujitsu,JP,HVC-CPU-07,H12 714439,1984
253,U5,Ricoh,JP,HVC-CPU-07,H12 714439,1984
254,U6,Ricoh,JP,HVC-CPU-07,H12 714439,1984
250,U2,Texas Instruments,US,HVC-CPU-07,H12 714439,1984
251,U3,Texas Instruments TAIWAN,US,HVC-CPU-07,H12 714439,1984
255,U7,Toshiba,JP,HVC-CPU-07,H12 714439,1984
256,U8,Toshiba,JP,HVC-CPU-07,H12 714439,1984
258,U2,Fujitsu,JP,HVC-CPU-07,H13 219239,1984
259,U3,Hitachi,JP,HVC-CPU-07,H13 219239,1984
261,U5,Ricoh,JP,HVC-CPU-07,H13 219239,1984
262,U6,Ricoh,JP,HVC-CPU-07,H13 219239,1984
257,U1,Toshiba,JP,HVC-CPU-07,H13 219239,1984
260,U4,Toshiba,JP,HVC-CPU-07,H13 219239,1984
263,U7,Toshiba,JP,HVC-CPU-07,H13 219239,1984
264,U8,Toshiba,JP,HVC-CPU-07,H13 219239,1984
265,U1,Fujitsu,JP,HVC-CPU-07,H13 765684,1984
268,U4,Fujitsu,JP,HVC-CPU-07,H13 765684,1984
271,U7,Panasonic,JP,HVC-CPU-07,H13 765684,1984
272,U8,Panasonic,JP,HVC-CPU-07,H13 765684,1984
269,U5,Ricoh,JP,HVC-CPU-07,H13 765684,1984
270,U6,Ricoh,JP,HVC-CPU-07,H13 765684,1984
266,U2,Texas Instruments,US,HVC-CPU-07,H13 765684,1984
267,U3,Texas Instruments,US,HVC-CPU-07,H13 765684,1984
27,U3,Fujitsu,JP,HVC-CPU-07,H14 146711,1984
29,U5,Ricoh,JP,HVC-CPU-07,H14 146711,1984
30,U6,Ricoh,JP,HVC-CPU-07,H14 146711,1984
26,U2,Texas Instruments,US,HVC-CPU-07,H14 146711,1984
25,U1,Toshiba,JP,HVC-CPU-07,H14 146711,1984
28,U4,Toshiba,JP,HVC-CPU-07,H14 146711,1984
31,U7,Toshiba,JP,HVC-CPU-07,H14 146711,1984
32,U8,Toshiba,JP,HVC-CPU-07,H14 146711,1984
277,U5,Ricoh,JP,HVC-CPU-07,H14 477753,1984
278,U6,Ricoh,JP,HVC-CPU-07,H14 477753,1984
274,U2,Texas Instruments,US,HVC-CPU-07,H14 477753,1984
275,U3,Texas Instruments,US,HVC-CPU-07,H14 477753,1984
273,U1,Toshiba,JP,HVC-CPU-07,H14 477753,1984
276,U4,Toshiba,JP,HVC-CPU-07,H14 477753,1984
279,U7,Toshiba,JP,HVC-CPU-07,H14 477753,1984
280,U8,Toshiba,JP,HVC-CPU-07,H14 477753,1984
283,U3,Motorola,US,HVC-CPU-07,H14 621174,1984
287,U7,Panasonic,JP,HVC-CPU-07,H14 621174,1984
288,U8,Panasonic,JP,HVC-CPU-07,H14 621174,1984
285,U5,Ricoh,JP,HVC-CPU-07,H14 621174,1984
286,U6,Ricoh,JP,HVC-CPU-07,H14 621174,1984
281,U1,Sharp,JP,HVC-CPU-07,H14 621174,1984
284,U4,Sharp,JP,HVC-CPU-07,H14 621174,1984
282,U2,Texas Instruments Malaysia ,US,HVC-CPU-07,H14 621174,1984
291,U3,Hitachi,JP,HVC-CPU-07,H14 970127,1984
295,U7,Panasonic,JP,HVC-CPU-07,H14 970127,1984
296,U8,Panasonic,JP,HVC-CPU-07,H14 970127,1984
293,U5,Ricoh,JP,HVC-CPU-07,H14 970127,1984
294,U6,Ricoh,JP,HVC-CPU-07,H14 970127,1984
289,U1,Sharp,JP,HVC-CPU-07,H14 970127,1984
292,U4,Sharp,JP,HVC-CPU-07,H14 970127,1984
290,U2,Texas Instruments Malaysia ,US,HVC-CPU-07,H14 970127,1984
303,U7,Panasonic,JP,HVC-CPU-07,H15 303107,1984
304,U8,Panasonic,JP,HVC-CPU-07,H15 303107,1984
301,U5,Ricoh,JP,HVC-CPU-07,H15 303107,1984
302,U6,Ricoh,JP,HVC-CPU-07,H15 303107,1984
297,U1,Sharp,JP,HVC-CPU-07,H15 303107,1984
300,U4,Sharp,JP,HVC-CPU-07,H15 303107,1984
298,U2,Texas Instruments,US,HVC-CPU-07,H15 303107,1984
299,U3,Texas Instruments Malaysia ,US,HVC-CPU-07,H15 303107,1984
305,U1,Fujitsu,JP,HVC-CPU-07,H15 329531,1984
308,U4,Fujitsu,JP,HVC-CPU-07,H15 329531,1984
306,U2,Motorola,US,HVC-CPU-07,H15 329531,1984
307,U3,Motorola,US,HVC-CPU-07,H15 329531,1984
309,U5,Ricoh,JP,HVC-CPU-07,H15 329531,1984
310,U6,Ricoh,JP,HVC-CPU-07,H15 329531,1984
311,U7,Toshiba,JP,HVC-CPU-07,H15 329531,1984
312,U8,Toshiba,JP,HVC-CPU-07,H15 329531,1984
101,U5,-,-,HVC-CPU-07,H5 318241,1984
97,U1,Fujitsu,JP,HVC-CPU-07,H5 318241,1984
99,U3,Fujitsu,JP,HVC-CPU-07,H5 318241,1984
100,U4,Fujitsu,JP,HVC-CPU-07,H5 318241,1984
98,U2,Hitachi,JP,HVC-CPU-07,H5 318241,1984
102,U6,Ricoh,JP,HVC-CPU-07,H5 318241,1984
103,U7,Toshiba,JP,HVC-CPU-07,H5 318241,1984
104,U8,Toshiba,JP,HVC-CPU-07,H5 318241,1984
109,U5,-,-,HVC-CPU-07,H5 566871,1984
105,U1,Fujitsu,JP,HVC-CPU-07,H5 566871,1984
108,U4,Hitachi,JP,HVC-CPU-07,H5 566871,1984
111,U7,Panasonic,JP,HVC-CPU-07,H5 566871,1984
112,U8,Panasonic,JP,HVC-CPU-07,H5 566871,1984
110,U6,Ricoh,JP,HVC-CPU-07,H5 566871,1984
106,U2,Toshiba,JP,HVC-CPU-07,H5 566871,1984
107,U3,Toshiba,JP,HVC-CPU-07,H5 566871,1984
113,U1,Hitachi,JP,HVC-CPU-07,H5 621670,1984
115,U3,Hitachi,JP,HVC-CPU-07,H5 621670,1984
116,U4,Hitachi,JP,HVC-CPU-07,H5 621670,1984
117,U5,Ricoh,JP,HVC-CPU-07,H5 621670,1984
118,U6,Ricoh,JP,HVC-CPU-07,H5 621670,1984
114,U2,Toshiba,JP,HVC-CPU-07,H5 621670,1984
119,U7,Toshiba,JP,HVC-CPU-07,H5 621670,1984
120,U8,Toshiba,JP,HVC-CPU-07,H5 621670,1984
121,U1,Fujitsu,JP,HVC-CPU-07,H5 860952,1984
127,U7,Panasonic,JP,HVC-CPU-07,H5 860952,1984
128,U8,Panasonic,JP,HVC-CPU-07,H5 860952,1984
125,U5,Ricoh,JP,HVC-CPU-07,H5 860952,1984
126,U6,Ricoh,JP,HVC-CPU-07,H5 860952,1984
122,U2,Texas Instruments,US,HVC-CPU-07,H5 860952,1984
123,U3,Texas Instruments,US,HVC-CPU-07,H5 860952,1984
124,U4,Toshiba,JP,HVC-CPU-07,H5 860952,1984
131,U3,Fujitsu,JP,HVC-CPU-07,H6 136712,1984
129,U1,Hitachi,JP,HVC-CPU-07,H6 136712,1984
130,U2,Hitachi,JP,HVC-CPU-07,H6 136712,1984
132,U4,NEC,JP,HVC-CPU-07,H6 136712,1984
133,U5,Ricoh,JP,HVC-CPU-07,H6 136712,1984
134,U6,Ricoh,JP,HVC-CPU-07,H6 136712,1984
135,U7,Toshiba,JP,HVC-CPU-07,H6 136712,1984
136,U8,Toshiba,JP,HVC-CPU-07,H6 136712,1984
138,U2,Fujitsu,JP,HVC-CPU-07,H6 440763,1984
137,U1,Hitachi,JP,HVC-CPU-07,H6 440763,1984
139,U3,Hitachi,JP,HVC-CPU-07,H6 440763,1984
140,U4,Hitachi,JP,HVC-CPU-07,H6 440763,1984
143,U7,Panasonic,JP,HVC-CPU-07,H6 440763,1984
144,U8,Panasonic,JP,HVC-CPU-07,H6 440763,1984
141,U5,Ricoh,JP,HVC-CPU-07,H6 440763,1984
142,U6,Ricoh,JP,HVC-CPU-07,H6 440763,1984
10,U2,Fujitsu,JP,HVC-CPU-07,H6 954765,1984
11,U3,Fujitsu,JP,HVC-CPU-07,H6 954765,1984
9,U1,Hitachi,JP,HVC-CPU-07,H6 954765,1984
13,U5,Ricoh,JP,HVC-CPU-07,H6 954765,1984
14,U6,Ricoh,JP,HVC-CPU-07,H6 954765,1984
12,U4,Toshiba,JP,HVC-CPU-07,H6 954765,1984
15,U7,Toshiba,JP,HVC-CPU-07,H6 954765,1984
16,U8,Toshiba,JP,HVC-CPU-07,H6 954765,1984
146,U2,Fujitsu,JP,HVC-CPU-07,H7 289258,1984
147,U3,Fujitsu,JP,HVC-CPU-07,H7 289258,1984
148,U4,Fujitsu,JP,HVC-CPU-07,H7 289258,1984
145,U1,Hitachi,JP,HVC-CPU-07,H7 289258,1984
149,U5,Ricoh,JP,HVC-CPU-07,H7 289258,1984
150,U6,Ricoh,JP,HVC-CPU-07,H7 289258,1984
151,U7,Toshiba,JP,HVC-CPU-07,H7 289258,1984
